Rank,Name,Country,Born,Order,Consistory,Office,Ref.
1,Giovanni Battista Re*,Italy,"30 January 1934
(age 91)",CB,"21 February 2001
John Paul II",Prefect emeritus of the Congregation for Bishops,
2,Leonardo Sandri*,Argentina,"18 November 1943
(age 81)",CB,"24 November 2007
Benedict XVI",Prefect emeritus of the Dicastery for the Eastern Churches,
3,Francis Arinze*,Nigeria,"1 November 1932
(age 92)",CB,"25 May 1985
John Paul II",Prefect emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,
4,Tarcisio Bertone SDB*,Italy,"2 December 1934
(age 90)",CB,"21 October 2003
John Paul II",Secretary of State emeritus of His Holiness and Camerlengo emeritus of the Holy Roman Church,
5,José Saraiva Martins CMF*,Portugal,"6 January 1932
(age 93)",CB,"21 February 2001
John Paul II",Prefect emeritus of the Congregation for the Causes of Saints,
6,Pietro Parolin,Italy,"17 January 1955
(age 70)",CB,"22 February 2014
Francis",Secretary of State of His Holiness,
7,Marc Ouellet PSS*,Canada,"8 June 1944
(age 80)",CB,"21 October 2003
John Paul II",Prefect emeritus of the Dicastery for Bishops,
8,Fernando Filoni,Italy,"15 April 1946
(age 79)",CB,"18 February 2012
Benedict XVI",Grand Master of the Order of the Holy Sepulchre,
9,Beniamino Stella*,Italy,"18 August 1941
(age 83)",CB,"22 February 2014
Francis",Prefect emeritus of the Congregation for the Clergy,
10,Luis Antonio Tagle,Philippines,"21 June 1957
(age 67)",CB,"24 November 2012
Benedict XVI",Pro-Prefect of the Dicastery for Evangelization,
11,Robert Francis Prevost OSA,United States,"14 September 1955
(age 69)",CB,"30 September 2023
Francis",Prefect of the Dicastery for Bishops,
12,Bechara Boutros al-Rahi OMM*,Lebanon,"25 February 1940
(age 85)",CB,"24 November 2012
Benedict XVI","Patriarch of Antioch
(Maronite Church)",
13,Louis Raphaël I Sako,Iraq,"4 July 1948
(age 76)",CB,"28 June 2018
Francis","Patriarch of Baghdad
(Chaldean Church)",
