conclave_date,pope_name,rank,name,name_words,country_serving,born,age_at_conclave,years_served_as_cardinal,cardinal_type,date_created,creator_pope,position,votes_received_in_prev_conclave,newsweek_choice,betting_market,first_language,elected
1-Oct-1978,NA,7,Stefan Wyszyński,2,Poland,3-Aug-1901,77.1608,25.7166,CP,12 January 1953,Pius XII,Archbishop of Gniezno and of Warsaw,0,0,0,Polish,no
1-Oct-1978,NA,8,Paul Émile Léger ,3,Canada,26-Apr-1904,74.4312,25.7166,CP,12 January 1953,Pius XII,Archbishop emeritus of Montreal,0,0,0,French,no
1-Oct-1978,NA,9,José María Bueno y Monreal,5,Spain,11-Sep-1904,74.0534,25.7166,CP,12 January 1953,Pius XII,Archbishop of Seville,0,0,0,Spanish,no
1-Oct-1978,NA,10,Franz König,2,Austria,3-Aug-1905,73.1608,19.7947,CP,15 December 1958,John XXIII,Archbishop of Vienna and President of the Secretariat for Non-Believers,0,0,0,German,no
1-Oct-1978,NA,11,Bernardus Johannes Alfrink,3,Netherlands,5-Jul-1900,78.2396,19.7947,CP,15 December 1958,John XXIII,Archbishop emeritus of Utrecht,0,0,0,Dutch,no
1-Oct-1978,NA,12,Laurean Rugambwa,2,Tanzania,12-Jul-1912,66.2204,18.5106,CP,28 March 1960,John XXIII,Archbishop of Dar-es-Salaam,0,0,0,Swahili,no
1-Oct-1978,NA,13,José Humberto Quintero Parra,4,Venezuela,22-Sep-1902,76.0246,18.5106,CP,28 March 1960,John XXIII,Archbishop of Caracas,0,0,0,Spanish,no
1-Oct-1978,NA,14,Juan Landázuri Ricketts ,3,Peru,19-Nov-1913,64.8652,17.7057,CP,16 January 1961,John XXIII,Archbishop of Lima,0,0,0,Spanish,no
1-Oct-1978,NA,15,Raúl Silva Henríquez ,3,Chile,27-Sep-1907,71.0116,16.5366,CP,19 March 1962,John XXIII,Archbishop of Santiago de Chile,0,0,0,Spanish,no
1-Oct-1978,NA,16,Leo-Jozef Suenens,2,Belgium,16-Jul-1904,74.2094,16.5366,CP,19 March 1962,John XXIII,Archbishop of Mechelen–Brussels,0,0,0,Dutch,no
1-Oct-1978,NA,17,Thomas Benjamin Cooray ,3,Sri Lanka,28-Dec-1901,76.7584,16.5366,CP,19 March 1962,John XXIII,Archbishop emeritus of Colombo,0,0,0,Sinhala,no
1-Oct-1978,NA,18,Maurice Roy,2,Canada,25-Jan-1905,73.6810,13.6044,CP,22 February 1965,Paul VI,Archbishop of Quebec,0,0,0,French,no
1-Oct-1978,NA,19,Owen McCann,2,South Africa,29-Jun-1907,71.2580,13.6044,CP,22 February 1965,Paul VI,Archbishop of Cape Town,0,0,0,English,no
1-Oct-1978,NA,20,Léon-Étienne Duval,2,Algeria,9-Nov-1903,74.8939,13.6044,CP,22 February 1965,Paul VI,Archbishop of Algiers,0,0,0,French,no
1-Oct-1978,NA,21,Ermenegildo Florit,2,Italy,5-Jul-1901,77.2402,13.6044,CP,22 February 1965,Paul VI,Archbishop emeritus of Florence,0,0,0,Italian,no
1-Oct-1978,NA,22,Franjo Šeper,2,Yugoslavia,2-Oct-1905,72.9966,13.6044,CP,22 February 1965,Paul VI,Prefect of the Sacred Congregation for the Doctrine of the Faith,0,0,0,Croatian,no
